n,m,dual_lp
700,120900,2206539663
700,121000,1956795014
700,121100,2326215118
700,121200,1977058092
700,121300,2229915544
700,121400,2242255137
700,121500,1946128418
700,121600,1934764660
700,121700,2215406181
700,121800,2421572909
700,121900,1984375676
700,122000,2012479498
700,122100,1902596995
700,122200,1983385512
700,122300,1888507562
700,122400,2294834326
700,122500,1954663818
700,122600,2098333401
700,122700,2173539895
700,122800,1907266366
700,122900,2122931095
700,123000,2484795978
700,123100,2131493679
700,123200,2265824637
700,123300,1904083435
700,123400,2239190053
700,123500,2162180446
700,123600,1979704993
700,123700,1874426405
700,123800,2007748701
700,123900,2381247073
700,124000,2304157325
700,124100,2271971066
700,124200,2490884218
700,124300,2018538666
700,124400,1884729987
700,124500,2277728331
700,124600,1999964010
700,124700,2470676343
700,124800,2238307660
700,124900,2207029031
700,125000,2295322074
700,125100,2247397213
700,125200,2168384801
700,125300,2024263612
700,125400,1918581099
700,125500,2011556013
700,125600,2053939008
700,125700,2017842451
700,125800,2313605512
700,125900,1934957946
700,126000,1931525647
700,126100,2350126285
700,126200,1954824433
700,126300,2291747460
700,126400,2301584603
700,126500,2211918326
700,126600,2416468319
700,126700,2479058181
700,126800,2283950586
700,126900,2262868279
700,127000,2102519647
700,127100,2363951004
700,127200,1929147337
700,127300,1932222817
700,127400,2256957694
700,127500,2250916130
700,127600,2345940424
700,127700,2277287568
700,127800,1978491470
700,127900,2237901689
700,128000,2443883665
700,128100,2140726137
700,128200,2221604848
700,128300,2388489227
700,128400,1954673582
700,128500,2219867220
700,128600,2385447398
700,128700,1942058384
700,128800,2069154028
700,128900,2328909123
700,129000,2107393768
700,129100,1972746532
700,129200,2290240561
700,129300,2098940937
700,129400,1968134002
700,129500,1984505340
700,129600,2106045586
700,129700,2379591231
700,129800,2019472234
700,129900,2248328662
700,130000,1979820483
700,130100,2253164239
700,130200,2338198616
700,130300,2014941241
700,130400,2143779443
700,130500,1971793908
700,130600,2259781570
700,130700,2006214827
700,130800,2119720878
700,130900,2414940160
700,131000,2437349160
700,131100,2288718155
700,131200,2141765796
700,131300,2277385622
700,131400,2069416233
700,131500,2133840365
700,131600,2480714388
700,131700,2053144969
700,131800,2378324857
700,131900,2490752632
700,132000,2530420558
700,132100,2171618502
700,132200,2046201095
700,132300,2019165993
700,132400,2580314705
700,132500,2290004273
700,132600,2314471658
700,132700,2190328674
700,132800,2034492913
700,132900,2523027157
700,133000,2055617053
700,133100,2180266892
700,133200,2599910242
700,133300,2477860850
700,133400,2558560320
700,133500,2066518055
700,133600,2554291390
700,133700,2428722222
700,133800,2241318259
700,133900,2411318039
700,134000,2115611464
700,134100,2240360881
700,134200,2474580473
700,134300,2712067237
700,134400,2156998963
700,134500,2114508758
700,134600,2131363423
